VoterIDNum|FirstName|LastName|Address|City|State|Zip|Phone|LastID|2012PresGeneral|2012PresPrimary|2010MidtermGeneral|2010MidtermPrimary|2008PresGeneral|2008PresPrimary|2006MidtermGeneral|2006MidtermPrimary|
D5D059C7-6FAB-BED8-36E5-AF9E44FC1EE9|Autumn|Austin|6416 Aenean St.|Gaithersburg|MD|20877|(301) 846-4840|1|1|0|0|0|0|0|0|1|
22370E8D-B885-C1BE-461A-BDD1F4C85810|Walter|Lopez|6375 Odio. St.|Bethesda|MD|20894|(301) 877-4377|3|0|0|0|0|1|0|0|0|
"C5046A80-BE04-DA59-D038-B1EFE1703A20|Rama|Reid|6570 Eu, St.|Clarksburg|MD|20871|(301) 758-9441|1|1|1|0|0|0|1|1|0|"
"E27C9C2F-D665-8B03-66BF-B104C853ED91|Brielle|Decker|P.O. Box 217, 800 Nec, Road|Glen Echo|MD|20812|(301) 470-1867|2|1|1|1|1|0|0|0|1|"
"63965494-142C-5412-A49B-D488D6F37B53|Zena|Frank|P.O. Box 169, 3082 Orci St.|Woodbine|MD|21797|(301) 622-2643|4|0|1|0|0|0|0|0|1|"
2CDAC5CB-B840-037E-2705-0DAF109D6992|Eleanor|Mayo|4299 Nunc Ave|Damascus|MD|20872|(301) 989-6840|2|1|1|0|0|0|1|1|1|
7BBFBBF5-7509-C41D-6821-AE0B6534AC3E|Phelan|Valentine|Ap #183-977 Arcu. St.|Gaithersburg|MD|20877|(301) 300-5490|1|0|0|1|1|0|0|0|1|
CF383577-A29D-3E43-A137-B5FE9ACEE7DF|Florence|Carson|4091 Vestibulum Rd.|Gaithersburg|MD|20878|(301) 235-7632|4|0|0|1|0|1|0|1|0|
97DF1F07-0458-3A78-02E7-189BA87451CD|Melissa|Horne|Ap #247-1707 Velit Av.|Takoma Park|MD|20912|(301) 123-6839|5|0|0|0|1|1|1|0|1|
7B056FF2-D314-1A56-6F75-864682718F63|Victor|Villarreal|779-3119 Enim Rd.|Gaithersburg|MD|20878|(301) 104-1242|3|1|0|1|0|0|1|0|0|
BC288A08-80E4-AE0F-7F3F-9FBA830C7ECD|Brenna|Rasmussen|216-5910 Fusce Rd.|Silver Spring|MD|20903|(301) 224-8306|1|0|1|1|1|0|0|1|0|
69F12B0E-1585-3398-6BBC-476391D28A07|Michelle|Pitts|Ap #860-7965 Ultrices Rd.|Beallsville|MD|20839|(301) 275-9497|2|0|1|1|1|1|0|0|0|
"811F7A9C-6D43-F806-C485-075C453A732B|Ivan|Patton|427-1713 Sem, St.|Rockville|MD|20852|(301) 328-2122|3|1|1|1|1|1|0|1|0|"
68CC9B72-60DC-3C86-8079-EFFD01C0D38D|Hayden|Brock|Ap #312-3933 Massa St.|Germantown|MD|20876|(301) 779-4436|2|0|0|0|0|0|0|1|0|
"F60F14A7-113B-D551-993F-3F473F335BE9|Chava|Jenkins|5260 Quis, Street|Gaithersburg|MD|20882|(301) 109-3323|4|1|0|0|0|1|0|0|1|"
E1CA54BE-01A2-64E8-41B9-55DEF9E56366|Malik|Meadows|Ap #948-197 Sit St.|Gaithersburg|MD|20882|(301) 358-3767|1|0|1|1|0|1|0|1|1|
"AB3B4F21-4A37-7101-D56D-CFC1CBB8CEC7|Noel|Ferguson|P.O. Box 199, 4462 Dui Avenue|Ashton|MD|20861|(301) 868-6118|3|1|0|0|1|1|1|1|1|"
"A9EDF33C-A3B1-53B2-D226-6AD3D7183B91|Sade|Quinn|P.O. Box 706, 1488 Nibh. Rd.|Brookeville|MD|20833|(301) 463-5220|3|0|1|1|0|1|0|0|0|"
"D3CD1819-AB51-A69B-3A8B-05428079DF75|Karly|Rivas|3589 At, Rd.|Chevy Chase|MD|20815|(301) 964-0469|1|0|1|0|1|1|1|0|1|"
FF12C52B-1815-D690-5D6C-06331D8514AA|Maisie|Mejia|Ap #662-2513 Est Av.|Rockville|MD|20850|(301) 882-8705|5|1|1|0|0|1|0|0|1|
BA8AB3C6-D26E-7FEB-F2DF-38CD155BEDAB|Jescie|Jacobson|293-8134 Condimentum. Av.|Germantown|MD|20876|(301) 297-3434|5|1|0|0|0|1|1|0|0|
E4BC0296-592E-1473-3A4E-5B55AD3B7F00|Carissa|Pittman|282-8317 Accumsan St.|Brinklow|MD|20862|(301) 874-7766|5|0|1|1|0|1|1|0|1|
"D582CF21-3593-B3C8-E820-0E9AF970D598|Trevor|Byrd|8196 Nec, Av.|Brinklow|MD|20862|(301) 870-4344|5|0|1|1|1|1|1|0|0|"
EADFDC64-30FC-F453-73BB-B1910D539215|Aileen|Meyers|566-880 Turpis. Av.|Silver Spring|MD|20910|(301) 689-8023|5|1|1|0|0|0|1|1|0|
CA9FAE84-87F0-E936-BF0F-F859FE98EEE2|Aileen|Cabrera|980-9433 Amet Street|Gaithersburg|MD|20877|(301) 814-7934|2|0|0|0|1|0|0|0|0|
1E2042A4-0095-7AB9-1101-502300FE820C|Baker|Conley|Ap #208-2832 Imperdiet Street|Gaithersburg|MD|20899|(301) 314-0413|5|0|1|1|0|0|1|0|1|
"9206F001-C8C3-31DD-9104-D96872BF8DD7|Griffin|Mcfadden|Ap #765-9167 Et, St.|Boyds|MD|20841|(301) 415-6540|3|1|0|0|0|1|1|0|1|"
B20920FC-7F97-4789-2C12-BD8A14F83B26|Leo|Battle|Ap #823-1718 Urna Rd.|Rockville|MD|20852|(301) 544-6497|5|1|1|0|0|1|1|1|1|
23C7E9AD-6BA3-7212-DD8D-2E33CE2C70AB|Porter|Daniel|Ap #700-5223 Enim Street|Barnesville|MD|20838|(301) 965-2581|3|0|1|0|0|1|0|0|0|
"94DB9787-CB46-1363-9B3E-0D2A4C1884A2|Chava|Harris|4031 Luctus, Av.|Silver Spring|MD|20910|(301) 874-0675|5|1|0|1|0|1|0|0|1|"
D4C86CFE-D6D0-6D9A-2BB9-5FA2E799D6FC|Ora|England|8165 Sit Rd.|Gaithersburg|MD|20879|(301) 367-3934|5|1|0|0|1|1|0|0|0|
D7E357E7-5816-7936-D213-32B44863FCE2|Edan|Koch|791-1605 Suspendisse Av.|Bethesda|MD|20817|(301) 207-1749|4|0|0|0|1|0|0|0|1|
7DCA88E5-7E03-B1E0-0A2E-C015EC7E6782|Moses|Wilson|5626 Nunc. St.|Damascus|MD|20872|(301) 566-9715|5|1|0|1|0|1|1|1|0|
230642FF-163E-B522-80F6-9FF10831C1C5|Winter|Ware|304-4477 Mauris St.|Burtonsvlile|MD|20866|(301) 160-1605|3|1|0|1|1|1|1|1|1|
4290CE63-C72D-721F-E60A-755160C0D199|Jasper|Solis|Ap #419-8481 Velit Av.|Bethesda|MD|20889|(301) 990-2898|2|0|1|1|0|0|0|1|0|
CE27B327-7ECE-A4A7-DA42-6A8927D683F3|Erich|Alvarado|Ap #508-1777 Egestas. Avenue|Derwood|MD|20855|(301) 723-6794|4|1|1|1|1|0|0|0|0|
"A822671A-BFA2-67D2-0CF9-D143EE534B95|Alma|Mills|P.O. Box 891, 8143 Velit. Road|Rockville|MD|20853|(301) 149-2555|5|0|0|0|1|0|1|1|1|"
29403B17-209A-25EB-F38D-663DB599186B|Quail|Curry|Ap #739-7817 Magna. Street|Bethesda|MD|20894|(301) 368-2901|3|1|0|1|0|0|1|0|1|
"CBE6568E-41B3-985B-5CB0-E4E0BD6447D5|Deanna|Boyd|P.O. Box 190, 5089 Mus. St.|Bethesda|MD|20892|(301) 732-5762|4|1|0|0|0|0|0|1|1|"
"62DCA77A-91B3-F1F5-2C86-194A81FCFFDB|Sophia|Goodwin|P.O. Box 206, 8638 Malesuada Avenue|Bethesda|MD|20814|(301) 983-4882|2|1|0|1|1|1|1|1|1|"
0DCBD13C-50AB-DA63-1B24-5C3740457C28|Herrod|Petersen|Ap #267-8234 Massa. St.|Silver Spring|MD|20904|(301) 564-3636|3|1|0|0|1|0|0|0|1|
46C42C44-369E-1F6A-6A8D-31CDF36A17EB|Graiden|Wyatt|561 Iaculis Street|Silver Spring|MD|20902|(301) 791-8020|3|0|0|0|1|0|0|1|1|
"D874A420-4856-6D88-2CEB-BB0CC2079B3C|Vivien|Orr|P.O. Box 858, 166 Ac, Rd.|Ashton|MD|20861|(301) 424-8390|3|1|1|0|0|1|0|0|0|"
91917BF9-2BD3-A519-C585-C35BDB22F761|Joy|Kelley|458-5954 Nulla St.|Silver Spring|MD|20903|(301) 164-3249|4|0|0|1|1|1|0|1|1|
"7B774998-CE18-1191-F5A3-F20113BE7A2E|Barclay|House|P.O. Box 326, 9218 Nunc Av.|Rockville|MD|20851|(301) 876-7412|1|0|1|1|0|0|0|1|1|"
CA7669B6-5C7B-662A-AE91-5E2AE791CFDC|Eugenia|Cameron|508-9618 Quis Rd.|Gaithersburg|MD|20877|(301) 558-4692|4|1|1|1|1|0|0|0|1|
